,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tls_header_encrypted
49,1740741123.713831429,1296,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,1260,,,,,1252,12,ACK,False,
50,1740741123.716008321,167,142.250.75.174,192.168.80.128,4,17,128,QUIC,443,36166,131,,,,,123,,,True,
51,1740741123.716082770,77,192.168.80.128,142.250.75.174,4,17,64,QUIC,36166,443,41,,,,,33,,,True,
52,1740741123.716663497,1296,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,1260,,,,,112,4,PING,False,
53,1740741123.717565329,662,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,626,,,,,618,,,True,
54,1740741123.717612276,1296,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,1260,,,,,41,4,PING,False,
55,1740741123.722341675,1296,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,1260,,,,,1252,5,ACK,False,
56,1740741123.723434403,1296,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,1260,,,,,1252,5,ACK,False,
57,1740741123.730610033,1296,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,1260,,,,,41,5,PING,False,
58,1740741123.730728181,1296,192.168.80.128,35.186.224.24,4,17,64,QUIC,36911,443,1260,,,,,112,5,PING,False,
59,1740741123.730794971,1296,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,1260,,,,,1252,6,CRYPTO,False,
60,1740741123.730795041,342,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,306,,,,,232,,,True,
61,1740741123.731385669,661,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,625,,,,,617,,,True,
62,1740741123.731385699,72,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,36,,,,,28,,,True,
63,1740741123.731385726,1296,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,1260,,,,,132,6,CRYPTO,False,
64,1740741123.731385748,1296,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,1260,,,,,1252,,,True,
65,1740741123.731385770,1292,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,1256,,,,,1212,,,True,
66,1740741123.731711339,157,192.168.80.128,142.250.75.163,4,17,64,QUIC,58031,443,121,,,,,82,,,True,
67,1740741123.731970560,103,35.186.224.24,192.168.80.128,4,17,128,QUIC,443,36911,67,,,,,59,,,True,
68,1740741123.732013430,69,142.250.75.163,192.168.80.128,4,17,128,QUIC,443,58031,33,,,,,25,,,True,
