,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted
49,1740822955.438649368,1028,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,992,984,,,True,,,,,
50,1740822955.438649412,181,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,145,137,,,True,,,,,
51,1740822955.438743259,77,192.168.80.128,142.250.75.138,4,17,64,QUIC,39759,443,41,33,,,True,,,,,
52,1740822955.438815819,77,192.168.80.128,142.250.75.138,4,17,64,QUIC,39759,443,41,33,,,True,,,,,
53,1740822955.440070956,71,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,35,27,,,True,,,,,
54,1740822955.440135179,77,192.168.80.128,142.250.75.138,4,17,64,QUIC,39759,443,41,33,,,True,,,,,
55,1740822955.461766366,5704,142.250.75.138,192.168.80.128,4,6,128,TLSv1.2,443,53202,,,,,,5648,1,1842,64240,True
56,1740822955.461794563,56,192.168.80.128,142.250.75.138,4,6,64,TCP,53202,443,,,,,,0,1842,5649,65535,
57,1740822955.462840540,174,142.250.75.138,192.168.80.128,4,6,128,TLSv1.3,443,53202,,,,,,118,5649,1842,64240,True
58,1740822955.462856075,56,192.168.80.128,142.250.75.138,4,6,64,TCP,53202,443,,,,,,0,1842,5767,65535,
59,1740822955.463418772,130,192.168.80.128,142.250.75.138,4,6,64,TLSv1.3,53202,443,,,,,,74,1842,5767,65535,True
60,1740822955.463643116,62,142.250.75.138,192.168.80.128,4,6,128,TCP,443,53202,,,,,,0,5767,1916,64240,
61,1740822955.464994623,68,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,32,24,,,True,,,,,
62,1740822955.469993789,1056,142.250.75.138,192.168.80.128,4,6,128,TLSv1.3,443,53202,,,,,,1000,5767,1916,64240,True
63,1740822955.501673315,1290,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,1254,1246,,,True,,,,,
64,1740822955.502617960,1046,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,1010,1002,,,True,,,,,
65,1740822955.502730481,124,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,88,80,,,True,,,,,
66,1740822955.502943468,79,192.168.80.128,142.250.75.138,4,17,64,QUIC,39759,443,43,35,,,True,,,,,
67,1740822955.511012667,56,192.168.80.128,142.250.75.138,4,6,64,TCP,53202,443,,,,,,0,1916,6767,65535,
68,1740822955.528780352,76,192.168.80.128,142.250.75.138,4,17,64,QUIC,39759,443,40,32,,,True,,,,,
69,1740822955.533682534,68,142.250.75.138,192.168.80.128,4,17,128,QUIC,443,39759,32,24,,,True,,,,,
70,1740822963.343629508,851,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,815,807,,,True,,,,,
71,1740822963.347777889,73,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,37,29,,,True,,,,,
72,1740822963.373932914,76,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,40,32,,,True,,,,,
73,1740822963.442042829,1290,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,1254,1246,,,True,,,,,
74,1740822963.442043113,523,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,487,479,,,True,,,,,
75,1740822963.442043129,69,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,33,25,,,True,,,,,
76,1740822963.442319435,79,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,43,35,,,True,,,,,
77,1740822963.442978721,288,142.250.75.68,192.168.80.128,4,17,128,QUIC,443,44530,252,244,,,True,,,,,
78,1740822963.443459562,75,192.168.80.128,142.250.75.68,4,17,64,QUIC,44530,443,39,31,,,True,,,,,
