,timestamp,packet_length,ip_src,ip_dst,ip_version,ip_proto,ip_ttl,protocol,src_port,dst_port,tcp_payload_size,tcp_seq,tcp_ack_flag,tcp_window_size,tls_header_encrypted,udp_length,quic_length,quic_pkt_number,quic_frame,quic_header_encrypted
49,1740823193.502101038,165,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52092,443,109,1964,4245,65535,True,,,,,
50,1740823193.502207500,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52092,0,4245,2073,64240,,,,,,
51,1740823193.502362524,1620,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52076,443,1564,2056,4245,65535,True,,,,,
52,1740823193.502515404,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52076,0,4245,3516,64240,,,,,,
53,1740823193.502571986,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52076,0,4245,3620,64240,,,,,,
54,1740823193.502733791,80,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52092,443,24,2073,4245,65535,True,,,,,
55,1740823193.502784072,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52092,0,4245,2097,64240,,,,,,
56,1740823193.502824747,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52092,443,0,2097,4245,65535,,,,,,
57,1740823193.503096776,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52092,0,4245,2098,64239,,,,,,
58,1740823193.520051483,4300,146.75.121.140,192.168.80.128,4,6,128,TLSv1.2,443,52100,4244,1,1900,64240,True,,,,,
59,1740823193.520074033,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52100,443,0,1900,4245,65535,,,,,,
60,1740823193.520820787,120,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52100,443,64,1900,4245,65535,True,,,,,
61,1740823193.520933246,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52100,0,4245,1964,64240,,,,,,
62,1740823193.521117671,165,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52100,443,109,1964,4245,65535,True,,,,,
63,1740823193.521250713,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52100,0,4245,2073,64240,,,,,,
64,1740823193.521415014,80,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52100,443,24,2073,4245,65535,True,,,,,
65,1740823193.521463483,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52100,443,0,2097,4245,65535,,,,,,
66,1740823193.521500862,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52100,0,4245,2097,64240,,,,,,
67,1740823193.521573301,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52100,0,4245,2098,64239,,,,,,
68,1740823193.552534097,121,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,65,4245,3620,64240,True,,,,,
69,1740823193.552642953,87,192.168.80.128,146.75.121.140,4,6,64,TLSv1.3,52076,443,31,3620,4310,65535,True,,,,,
70,1740823193.552751915,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52076,0,4310,3651,64240,,,,,,
71,1740823193.565143966,80,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52092,24,4245,2098,64239,True,,,,,
72,1740823193.565163585,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52092,443,0,2098,0,0,,,,,,
73,1740823193.582868269,80,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52100,24,4245,2098,64239,True,,,,,
74,1740823193.582887698,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52100,443,0,2098,0,0,,,,,,
75,1740823193.731690310,5051,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,4995,4310,3651,64240,True,,,,,
76,1740823193.731723769,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,9305,65535,,,,,,
77,1740823193.734441961,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,9305,3651,64240,True,,,,,
78,1740823193.734460849,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,12217,65535,,,,,,
79,1740823193.735811926,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,12217,3651,64240,True,,,,,
80,1740823193.735830295,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,15129,65535,,,,,,
81,1740823193.739970921,5880,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,5824,15129,3651,64240,True,,,,,
82,1740823193.740368969,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,20953,65535,,,,,,
83,1740823193.746045895,7336,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,7280,20953,3651,64240,True,,,,,
84,1740823193.746515753,1512,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,1456,28233,3651,64240,True,,,,,
85,1740823193.746542484,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,29689,65535,,,,,,
86,1740823193.751830431,5880,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,5824,29689,3651,64240,True,,,,,
87,1740823193.751847535,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,35513,65535,,,,,,
88,1740823193.752759299,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,35513,3651,64240,True,,,,,
89,1740823193.753044822,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,38425,65535,,,,,,
90,1740823193.756096061,4424,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,4368,38425,3651,64240,True,,,,,
91,1740823193.756109163,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,42793,65535,,,,,,
92,1740823193.757258147,1512,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,1456,42793,3651,64240,True,,,,,
93,1740823193.762040534,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,44249,3651,64240,True,,,,,
94,1740823193.762057139,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,47161,65535,,,,,,
95,1740823193.792680213,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,47161,3651,64240,True,,,,,
96,1740823193.792708871,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,50073,65535,,,,,,
97,1740823193.793662082,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,50073,3651,64240,True,,,,,
98,1740823193.793679453,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,52985,65535,,,,,,
99,1740823193.794713741,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52104,443,0,0,0,64240,,,,,,
100,1740823193.796766219,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,52985,3651,64240,True,,,,,
101,1740823193.796766531,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,55897,3651,64240,True,,,,,
102,1740823193.796790477,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,55897,65535,,,,,,
103,1740823193.796911553,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,58809,65535,,,,,,
104,1740823193.799493122,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,58809,3651,64240,True,,,,,
105,1740823193.799542768,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,61721,65535,,,,,,
106,1740823193.801414372,3487,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,3431,61721,3651,64240,True,,,,,
107,1740823193.801463586,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,65152,65535,,,,,,
108,1740823193.802144557,2968,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2912,65152,3651,64240,True,,,,,
109,1740823193.802152188,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,68064,65535,,,,,,
110,1740823193.804438706,2121,146.75.121.140,192.168.80.128,4,6,128,TLSv1.3,443,52076,2065,68064,3651,64240,True,,,,,
111,1740823193.804459419,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52076,443,0,3651,70129,65535,,,,,,
112,1740823193.846391019,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52106,443,0,0,0,64240,,,,,,
113,1740823193.850961565,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52116,443,0,0,0,64240,,,,,,
114,1740823193.851157499,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52132,443,0,0,0,64240,,,,,,
115,1740823193.851699771,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52138,443,0,0,0,64240,,,,,,
116,1740823193.856998819,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52152,443,0,0,0,64240,,,,,,
117,1740823193.857027691,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,0,1,64240,,,,,,
118,1740823193.857044955,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52104,443,0,1,1,64240,,,,,,
119,1740823193.857085281,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52166,443,0,0,0,64240,,,,,,
120,1740823193.857142582,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52180,443,0,0,0,64240,,,,,,
121,1740823193.857186545,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52186,443,0,0,0,64240,,,,,,
122,1740823193.857600370,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52104,443,1905,1,1,64240,True,,,,,
123,1740823193.857812306,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,1,1461,64240,,,,,,
124,1740823193.857847172,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52104,0,1,1906,64240,,,,,,
125,1740823193.859398010,76,192.168.80.128,146.75.121.140,4,6,64,TCP,52202,443,0,0,0,64240,,,,,,
126,1740823193.907389994,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52116,0,0,1,64240,,,,,,
127,1740823193.907390327,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52132,0,0,1,64240,,,,,,
128,1740823193.907417885,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52116,443,0,1,1,64240,,,,,,
129,1740823193.907445333,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52132,443,0,1,1,64240,,,,,,
130,1740823193.907854221,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52116,443,1905,1,1,64240,True,,,,,
131,1740823193.908093403,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52116,0,1,1461,64240,,,,,,
132,1740823193.908093479,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52116,0,1,1906,64240,,,,,,
133,1740823193.908508260,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52132,443,1905,1,1,64240,True,,,,,
134,1740823193.908721493,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52132,0,1,1461,64240,,,,,,
135,1740823193.908768879,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52132,0,1,1906,64240,,,,,,
136,1740823193.912605544,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52106,0,0,1,64240,,,,,,
137,1740823193.912619786,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52106,443,0,1,1,64240,,,,,,
138,1740823193.913337697,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52106,443,1905,1,1,64240,True,,,,,
139,1740823193.913476412,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52106,0,1,1461,64240,,,,,,
140,1740823193.913476483,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52106,0,1,1906,64240,,,,,,
141,1740823193.914028164,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52180,0,0,1,64240,,,,,,
142,1740823193.914037856,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52180,443,0,1,0,0,,,,,,
143,1740823193.916794578,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52138,0,0,1,64240,,,,,,
144,1740823193.916807308,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52138,443,0,1,1,64240,,,,,,
145,1740823193.917192688,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52138,443,1905,1,1,64240,True,,,,,
146,1740823193.917418553,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52138,0,1,1461,64240,,,,,,
147,1740823193.917418627,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52138,0,1,1906,64240,,,,,,
148,1740823193.917989230,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52166,0,0,1,64240,,,,,,
149,1740823193.917989293,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52186,0,0,1,64240,,,,,,
150,1740823193.917996709,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52166,443,0,1,0,0,,,,,,
151,1740823193.918010021,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52186,443,0,1,0,0,,,,,,
152,1740823193.921233263,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52202,0,0,1,64240,,,,,,
153,1740823193.921240045,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52202,443,0,1,0,0,,,,,,
154,1740823193.922553980,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52152,0,0,1,64240,,,,,,
155,1740823193.922565709,56,192.168.80.128,146.75.121.140,4,6,64,TCP,52152,443,0,1,1,64240,,,,,,
156,1740823193.922915068,1961,192.168.80.128,146.75.121.140,4,6,64,TLSv1,52152,443,1905,1,1,64240,True,,,,,
157,1740823193.923039262,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52152,0,1,1461,64240,,,,,,
158,1740823193.923039302,62,146.75.121.140,192.168.80.128,4,6,128,TCP,443,52152,0,1,1906,64240,,,,,,
